id,word,pronounciation,english_meaning,vietnamese_meaning,synonyms
41,mediate,/ˈmiːdieɪt/,to intervene to bring about agreement,làm trung gian,"intervene, intercede, arbitrate "
42,redress,/rɪˈdres/,to remedy or set right an undesirable situation,"khắc phục, sửa chữa","remedy, correct, rectify"
43,circumvent,/ˌsɜːrkəmˈven t/,to find a way around an obstacle,"lách luật, đi đường vòng","bypass, evade, sidestep"
44,exhaustive,/ɪɡˈzɔːstɪv/,examining all possible aspects,"đầy đủ, toàn diện","thorough, comprehensive, complete"
45,interchangea ble,/ˌɪntərˈtʃeɪnd ʒəbəl/,able to be exchanged with each other,có thể hoán đổi,"exchangeable, equivalent, transposable"
46,novelty,/ˈnɑːvəlti/,the quality of being new or original,sự mới lạ,"originality, freshness, newness"
47,disparity,/dɪˈspærəti/,a great difference ,"sự chênh lệch, khác biệt lớn","inequality, gap, discrepancy"
48,renounce,/rɪˈnaʊns/,to formally declare abandonment,từ bỏ,"abandon, give up, forsake"
49,impartiality,/ɪmˌpɑːrʃiˈælə ti/,the quality of being unbiased,"sự công bằng, vô tư","fairness, neutrality, objectivity"
50,ambivalent,/æmˈbɪvələnt/,having mixed feelings about something,"lưỡng lự, nước đôi","uncertain, conflicted, undecided"
51,incongruity,/ˌɪnkɑːŋˈɡruːə ti/,the state of being out of place,sự không phù hợp,"inconsistency, mismatch, discrepancy"
52,spurious,/ˈspjʊriəs/,not what it appears to be; false,"giả mạo, không xác thực","false, fake, counterfeit"
53,dissociate,/dɪˈsoʊsieɪt/,to disconnect or separate from something,"tách rời, không liên quan","separate, disconnect, distance"
54,tantamount,/ˈtæntəmaʊn t/,equivalent in seriousness or effect ,tương đương với,"equivalent, equal, comparable"
55,extol,/ɪkˈstoʊl/,to praise enthusiastically,"ca tụng, tán dương","praise, laud, exalt"
56,palpable,/ˈpælpəbəl/,able to be touched or felt; obvious,có thể cảm nhận rõ,"tangible, perceptible, evident"
57,ambiguous,/æmˈbɪɡjuəs/,open to more than one interpretation,"mơ hồ, nhập nhằng","unclear, vague, equivocal"
58,ubiquitous,/juˈbɪkwɪtəs/,"present, appearing, or found everywhere",có mặt ở khắp nơi,"pervasive, omnipresent, universal"
59,preliminary,/prɪˈlɪmɪneri/,denoting an action preceding more important,"sơ bộ, mở đầu","introductory, initial, preparatory"
60,portend,/pɔːrˈtend/,to be a sign or warning of something to come,"báo hiệu, là điềm ","foreshadow, presage, augur"
61,compensate,/ˈkɑːmpənseɪ t/,to make up for or offset,bù đắp,"offset, counterbalance, recompense"
62,immutable,/ɪˈmjuːtəbəl/,unchanging over time; not subject to change,"không thay đổi, bất biến","unchangeable, fixed, permanent"
63,redundant,/rɪˈdʌndənt/,not or no longer needed; superfluous,"thừa, dư","superfluous, excess, unnecessary"
64,disregard,/ˌdɪsrɪˈɡɑːrd/,to pay no attention to; to ignore,"phớt lờ, không quan tâm","ignore, overlook, neglect"
65,idealize,/aɪˈdiːəlaɪz/,to regard as perfect or better than reality,lý tưởng hóa,"glorify, romanticize, exalt"
66,insuperable,/ɪnˈsuːpərəbə l/,impossible to overcome,không thể vượt qua,"insurmountable, unconquerable, impossible"
67,opaque,/oʊˈpeɪk/,not transparent; hard to understand,"mờ đục, khó hiểu","unclear, obscure, impenetrable"
68,inevitable,/ɪnˈevɪtəbəl/,certain to happen; unavoidable,không thể tránh khỏi,"unavoidable, inescapable, certain"
69,ambivalence,/æmˈbɪvələns/,the state of having mixed feelings,sự lưỡng lự,"uncertainty, indecision, conflict"
70,sporadic,/spəˈrædɪk/,occurring at irregular intervals,"lẻ tẻ, không đều","intermittent, occasional, irregular"
71,copious,/ˈkoʊpiəs/,abundant in supply or quantity,"dồi dào, phong phú","abundant, plentiful, ample"
72,transpose,/trænsˈpoʊz/,to cause to exchange places,"hoán vị, đổi chỗ","swap, interchange, switch"
73,polarize,/ˈpoʊləraɪz/,to divide into sharply contrasting groups,"phân cực, gây chia rẽ","divide, split, separate"
74,impervious,/ɪmˈpɜːrviəs/,not allowing entry; unable to be affected,"không thấm, không bị ảnh hưởng","impenetrable, resistant, immune"
75,conjecture,/kənˈdʒektʃər/,an opinion based on incomplete information,phỏng đoán,"speculation, guess, supposition"
76,pretentious,/prɪˈtenʃəs/,attempting to impress by affecting importance,"khoa trương, kiểu cách","pompous, affected, ostentatious"
77,conflate,/kənˈfleɪt/,to combine two or more things into one,"gộp lại, hợp nhất sai","merge, combine, fuse"
78,overshadow,/ˌoʊvərˈʃædo ʊ/,to appear much more prominent than,"che mờ, làm lu mờ","eclipse, outshine, dominate"
79,ineluctable,/ˌɪnɪˈlʌktəbəl/,unable to be resisted or avoided ,không thể tránh khỏi,"inevitable, unavoidable, inescapable"
80,onerous,/ˈɑːnərəs/,"involving a great deal of effort, trouble","nặng nề, phiền toái","burdensome, demanding, taxing"
81,sanction,/ˈsæŋkʃən/,official permission or approval,chế tài hoặc cho phép,"permit, authorize, penalize"
82,undermine,/ˌʌndərˈmaɪn/,to weaken the basis of gradually,làm suy yếu,"weaken, sabotage, erode"
83,constrain,/kənˈstreɪn/,to compel or force; to restrict,"ép buộc, hạn chế","compel, restrict, restrain"
84,nominal,/ˈnɑːmɪnəl/,existing in name only; very small,trên danh nghĩa; rất nhỏ,"in name only, token, minimal"
85,misconstrue,/ˌmɪskənˈstru ː/,to interpret wrongly,hiểu sai,"misinterpret, misunderstand, misread "
86,esoteric,/ˌesəˈterɪk/,intended for or understood by only a small group,"huyền bí, kén người hiểu","arcane, abstruse, obscure"
87,authoritative,/əˈθɔːrəteɪtɪv/,able to be trusted as accurate,"có thẩm quyền, đáng tin cậy","definitive, reliable, expert"
88,unequivocal,/ˌʌnɪˈkwɪvəkə l/,leaving no doubt; unambiguous,"rõ ràng, dứt khoát","unambiguous, clear, definitive"
89,thwart,/θwɔːrt/,to prevent from accomplishing,"ngăn cản, làm thất bại","prevent, frustrate, obstruct"
90,malign,/məˈlaɪn/,to speak about in an evil manner; harmful,phỉ báng; có hại,"defame, slander; harmful"
91,pragmatic,/præɡˈmætɪk/,dealing with things sensibly and realistically,"thực tế, thực dụng","practical, realistic, sensible "
92,constrict,/kənˈstrɪkt/,to make narrower; to limit,"thắt chặt, hạn chế","restrict, narrow, tighten"
93,ephemeral,/ɪˈfemərəl/,lasting for a very short time,"phù du, ngắn ngủi","transient, fleeting, momentary"
94,predilection,/ˌpredəˈlekʃən/,a preference or special liking,"thiên hướng, sở thích","preference, liking, fondness"
95,deceive,/dɪˈsiːv/,to deliberately cause someone to believe false,lừa dối,"mislead, dupe, trick"
96,sustainable,/səˈsteɪnəbəl/,able to be maintained over time,bền vững,"viable, maintainable, durable"
97,promulgate,/ˈprɑːməlɡeɪt/,to make widely known; to promote,"công bố, ban hành","proclaim, announce, disseminate"
98,conspicuous,/kənˈspɪkjuəs/,clearly visible; attracting notice,"dễ thấy, nổi bật","noticeable, prominent, obvious"
99,deference,/ˈdefərəns/,humble submission and respect,"sự kính trọng, nhường nhịn","respect, regard, courtesy"
100,indecision,/ˌɪndɪˈsɪʒən/,inability to decide quickly,sự do dự,"hesitation, vacillation, irresolution"
101,supplement,/ˈsʌplɪmənt/,to add to in order to improve,"bổ sung, thêm vào","augment, add to, complement"
102,impugn,/ɪmˈpjuːn/,to dispute the truth or validity of,"chất vấn, công kích","challenge, question, attack"
103,palliate,/ˈpælieɪt/,to make less severe without removing the cause,giảm nhẹ,"alleviate, mitigate, ease"
104,designate,/ˈdezɪɡneɪt/,to officially appoint; to specify,"chỉ định, biểu thị ","appoint, name, specify"
105,paucity,/ˈpɔːsəti/,the presence of something in small quantities,"sự ít ỏi, khan hiếm","scarcity, dearth, shortage"
106,proxy,/ˈprɑːksi/,a person authorized to act for another,đại diện; phương tiện thay thế,"substitute, representative, surrogate"
107,predictive,/prɪˈdɪktɪv/,showing what might happen in the future,có tính dự báo,"prophetic, forecasting, anticipatory"
108,irrespective,/ˌɪrɪˈspektɪv/,not taking something into account,"bất kể, không xét đến","regardless, notwithstanding, apart from"
109,beneficial,/ˌbenɪˈfɪʃəl/,favorable or advantageous,có lợi,"advantageous, helpful, favorable"
110,abridge,/əˈbrɪdʒ/,to shorten without losing the sense,rút ngắn,"shorten, condense, abbreviate"
111,enumerate,/ɪˈnuːməreɪt/,to mention separately as if in counting,liệt kê,"list, itemize, specify"
112,profound,/prəˈfaʊnd/,very great or intense; deep,sâu sắc,"deep, intense, thoughtful"
113,precarious,/prɪˈkeriəs/,not securely held; uncertain,"bấp bênh, nguy hiểm","unstable, insecure, risky"
114,affinity,/əˈfɪnəti/,a spontaneous feeling of attraction; close similarity,sự đồng cảm; mối liên hệ,"attraction, kinship, similarity"
115,supersede,/ˌsuːpərˈsiːd/,to take the place of,thay thế,"replace, succeed, supplant"
116,incipient,/ɪnˈsɪpiənt/,in an initial stage; beginning,"mới chớm, sơ khai","emerging, nascent, developing"
117,evasion,/ɪˈveɪʒən/,the action of avoiding something,sự né tránh,"avoidance, escape, dodging"
118,provocative,/prəˈvɑːkətɪv/,causing annoyance or anger; stimulating,khiêu khích; gợi suy nghĩ,"stimulating, inflammatory, controversial"
119,obviate,/ˈɑːbvieɪt/,to remove the need for; to avert,"loại bỏ, ngăn ngừa","preclude, prevent, eliminate"
120,protract,/proʊˈtrækt/,to prolong or extend,kéo dài,"prolong, extend, lengthen"
121,salubrious,/səˈluːbriəs/,health-giving; wholesome,có lợi cho sức khỏe,"healthy, wholesome, beneficial"
122,derivative,/dɪˈrɪvətɪv/,imitative of work of another; not original ,"phái sinh, không nguyên bản","imitative, unoriginal, secondary"
123,accentuate,/ækˈsentʃueɪt/,to make more noticeable or prominent,"nhấn mạnh, làm nổi bật","emphasize, highlight, underscore"
124,irrefutable,/ɪˈrefjətəbəl/,impossible to deny or disprove,không thể bác bỏ,"undeniable, indisputable, conclusive"
125,ambiguity,/ˌæmbɪˈɡjuːət i/,the quality of being open to interpretation,sự mơ hồ,"vagueness, equivocation, doubt"
126,postulate,/ˈpɑːstʃəleɪt/,to suggest or assume as true,đặt giả thiết,"assume, propose, hypothesize"
127,customary,/ˈkʌstəmeri/,according to the customs of a society,"theo lệ thường, thông lệ","traditional, conventional, usual"
128,validate,/ˈvælɪdeɪt/,to confirm or check the validity of,xác nhận,"confirm, verify, corroborate"
129,concur,/kənˈkɜːr/,to be of the same opinion; to agree,"đồng ý, nhất trí","agree, consent, assent"
130,refute,/rɪˈfjuːt/,to prove something to be wrong,bác bỏ,"disprove, rebut, contradict"
131,foreground,/ˈfɔːrɡraʊnd/,to make a feature of; to emphasize,đưa lên hàng đầu,"emphasize, highlight, feature"
132,solitary,/ˈsɑːləteri/,done or existing alone,đơn độc,"alone, isolated, lone"
133,clandestine,/klænˈdestɪn/,kept secret or done secretively,"bí mật, lén lút","secret, covert, surreptitious"
134,inexplicable,/ˌɪnɪkˈsplɪkəb əl/,unable to be explained,không thể giải thích,"mysterious, unaccountable, baffling"
135,dispassionat ely,/dɪsˈpæʃənətl i/,without emotion or bias,"khách quan, không thiên vị","objectively, impartially, neutrally"
136,subsume,/səbˈsuːm/,to include or absorb in something larger,"bao gồm, gộp vào","incorporate, include, absorb"
137,counterbalance,/ˌkaʊntərˈbæləns/,to have an equal but opposite effect,"đối trọng, cân bằng","offset, balance, neutralize"
138,prescient,/ˈpreʃənt/,having knowledge of events before they happen,tiên tri,"prophetic, foresighted, prophetic"
139,epitomize,/ɪˈpɪtəmaɪz/,to be a perfect example of,"tiêu biểu cho, là hiện thân của","embody, exemplify, represent"
14,pervasiveness,/pərˈveɪsɪvnəs/,the quality of spreading widely,"tính lan tỏa, phổ biến","prevalence, omnipresence, ubiquity"
141,ingenious,/ɪnˈdʒiːniəs/,"clever, original, and inventive","khôn khéo, sáng tạo ","clever, inventive, creative"
142,contemplate,/ˈkɑːntəmpleɪ t/,to think about deeply,suy ngẫm,"ponder, consider, meditate"
143,expound,/ɪkˈspaʊnd/,to present and explain in detail,trình bày chi tiết,"explain, elucidate, expand"
144,denote,/dɪˈnoʊt/,to be a sign of; to indicate,"biểu thị, chỉ ra","indicate, signify, represent"
145,culpability,/ˌkʌlpəˈbɪləti/,responsibility for a fault or wrong,"tính có lỗi, trách nhiệm","guilt, blame, responsibility"
146,underscore,/ˌʌndərˈskɔːr/,to emphasize the importance of,nhấn mạnh,"emphasize, highlight, stress"
147,hamper,/ˈhæmpər/,to hinder or impede,cản trở,"hinder, obstruct, impede"
148,inextricable,/ˌɪnɪkˈstrɪkəb əl/,impossible to disentangle or separate,không thể tách rời,"intertwined, inseparable, entangled"
149,inducement,/ɪnˈduːsmənt/,a thing that persuades to do something,"sự khuyến khích, dụ dỗ","incentive, motivation, encouragement"
150,feasible,/ˈfiːzəbəl/,possible to do easily or conveniently,khả thi,"possible, viable, practicable"
151,delineate,/dɪˈlɪnieɪt/,to describe or portray precisely,"miêu tả chi tiết, vạch ra","describe, depict, outline"
152,revert,/rɪˈvɜːrt/,to return to a previous state,trở lại trạng thái cũ,"return, regress, reverse"
153,distort,/dɪˈstɔːrt/,to twist out of shape; to misrepresent,bóp méo,"twist, warp, misrepresent"
154,inimical,/ɪˈnɪmɪkəl/,tending to obstruct or harm; hostile,"thù địch, gây hại","harmful, hostile, adverse "
155,commensura te,/kəˈmensərət/,corresponding in size or degree,"tương xứng, phù hợp","proportionate, equivalent, matching"
156,interplay,/ˈɪntərpleɪ/,the way in which things have an effect on each other,sự tương tác,"interaction, interrelation, exchange"
157,continuum,/kənˈtɪnjuəm/,a continuous sequence in which adjacent elements differ slightly,sự liên tục,"sequence, progression, range"
158,tangential,/tænˈdʒenʃəl/,barely connected to a subject,"tiếp tuyến, không liên quan trực tiếp","peripheral, marginal, indirect"
159,approbation,/ˌæprəˈbeɪʃən/,approval or praise,"sự tán thành, khen ngợi","approval, endorsement, praise"
160,persistent,/pərˈsɪstənt/,continuing firmly despite difficulty,"kiên trì, dai dẳng ","tenacious, persevering, enduring"
161,diminish,/dɪˈmɪnɪʃ/,to make or become less,giảm bớt,"reduce, lessen, decrease"
162,imitate,/ˈɪmɪteɪt/,to copy the behavior of,bắt chước,"mimic, copy, emulate"
163,typify,/ˈtɪpɪfaɪ/,to be a typical example of,tiêu biểu cho,"exemplify, characterize, epitomize"
164,equivocation,/ɪˌkwɪvəˈkeɪʃə n/,the use of ambiguous language to conceal,lối nói nước đôi,"ambiguity, evasion, prevarication"
165,homogeneity,/ˌhoʊmədʒəˈn iːəti/,the quality of being all the same,tính đồng nhất,"uniformity, sameness, similarity"
166,attrition,/əˈtrɪʃən/,gradual reduction in workforce/strength,"sự hao mòn, suy giảm dần","erosion, wearing down, depletion "
167,replicability,/ˌreplɪkəˈbɪlət i/,the ability to be repeated,khả năng lặp lại,"reproducibility, repeatability, consistency"
168,circumspecti on,/ˌsɜːrkəmˈspe kʃən/,caution; wariness,sự thận trọng,"caution, prudence, wariness"
169,diffusion,/dɪˈfjuːʒən/,the spreading of something widely,sự lan tỏa,"spread, dispersion, dissemination"
170,capacious,/kəˈpeɪʃəs/,having a lot of space inside; roomy,rộng rãi,"roomy, spacious, ample"
171,cursory,/ˈkɜːrsəri/,hasty and therefore not thorough,"qua loa, sơ sài","hasty, perfunctory, superficial"
172,opportune,/ˌɑːpərˈtuːn/,well-chosen or particularly favorable ,"đúng lúc, thuận tiện","timely, suitable, propitious"
173,inertia,/ɪˈnɜːrʃə/,a tendency to do nothing or remain unchanged,"sự trì trệ, ì","lethargy, inactivity, stagnation"
174,consternatio n,/ˌkɑːnstərˈneɪ ʃən/,a feeling of anxiety or dismay,"sự bàng hoàng, sửng sốt","dismay, alarm, distress"
175,proponent,/prəˈpoʊnənt/,a person who advocates a theory,"người ủng hộ, đề xuất","advocate, supporter, champion"
176,premeditate,/priˈmedɪteɪt/,to think out or plan beforehand,tính toán trước,"plan, contrive, calculate"
177,allocate,/ˈæləkeɪt/,to distribute resources for a purpose,phân bổ,"distribute, assign, apportion"
178,conceal,/kənˈsiːl/,to keep from being seen; to hide,che giấu,"hide, mask, cover"
179,trivial,/ˈtrɪviəl/,of little value or importance,"tầm thường, không quan trọng ","insignificant, minor, petty"
180,debunk,/diˈbʌŋk/,to expose the falseness of an idea,"vạch trần, bóc trần","disprove, refute, expose"
181,peculiar,/pɪˈkjuːliər/,strange or odd; distinctive,kỳ lạ; đặc trưng,"strange, odd, distinctive"
182,pristine,/ˈprɪstiːn/,in its original condition; untouched,"nguyên sơ, tinh khôi","pure, untouched, immaculate"
183,intercede,/ˌɪntərˈsiːd/,to intervene on behalf of another,"can thiệp, làm trung gian","mediate, intervene, plead"
184,amass,/əˈmæs/,to gather together or accumulate,"tích lũy, gom góp","accumulate, gather, collect"
185,incremental,/ˌɪnkrəˈmentə l/,increasing in regular amounts,tăng dần,"gradual, progressive, step-by-step"
186,volatile,/ˈvɑːlətəl/,liable to change rapidly; unstable,dễ thay đổi,"unpredictable, unstable, mercurial"
187,denounce,/dɪˈnaʊns/,to publicly declare to be wrong,"tố cáo, lên án","condemn, censure, criticize"
188,expedite,/ˈekspədaɪt/,to make happen sooner; to speed up,"đẩy nhanh, xúc tiến","accelerate, hasten, speed up"
189,neutral,/ˈnuːtrəl/,not supporting either side; impartial,trung lập,"impartial, unbiased, objective"
190,orthodox,/ˈɔːrθədɑːks/,following accepted ideas or beliefs,"chính thống, truyền thống","conventional, traditional, mainstream"
191,imperative,/ɪmˈperətɪv/,of vital importance; crucial,"cấp thiết, bắt buộc","essential, crucial, vital"
192,indeterminat e,/ˌɪndɪˈtɜːrmɪn ət/,not exactly known or established,không xác định,"uncertain, undetermined, vague"
193,dispute,/dɪˈspjuːt/,to question the truth of something,"tranh chấp, phủ nhận","question, challenge, contest"
194,chasten,/ˈtʃeɪsən/,to make someone aware of their faults,"khiển trách, làm tỉnh ngộ","discipline, humble, subdue"
195,genuine,/ˈdʒenjuɪn/,truly what something is said to be,chân thực,"authentic, real, true"
196,venerate,/ˈvenəreɪt/,to regard with great respect,tôn kính,"revere, honor, worship"
197,subtlety,/ˈsʌtəlti/,the quality of being subtle,sự tinh tế,"nuance, refinement, delicacy"
198,intricate,/ˈɪntrɪkət/,very complicated or detailed,"phức tạp, tinh xảo","complex, complicated, elaborate"
199,complement,/ˈkɑːmplɪmən t/,to add to in a way that improves,"bổ sung, hoàn thiện","supplement, enhance, complete"
200,prolific,/prəˈlɪfɪk/,producing much; abundant,có sức sáng tác dồi dào,"productive, fruitful, abundant"
201,extraneous,/ɪkˈstreɪniəs/,irrelevant or unrelated,"không liên quan, lạc đề","irrelevant, unrelated, immaterial"
202,defunct,/dɪˈfʌŋkt/,no longer existing or functioning,"không còn tồn tại, đã chết","extinct, obsolete, nonexistent"
203,disparage,/dɪˈspærɪdʒ/,to regard as of little worth,"chê bai, hạ thấp","belittle, deprecate, denigrate"
204,compound,/ˈkɑːmpaʊnd/,to make worse by adding to,làm nặng thêm; hợp chất,"exacerbate, aggravate; mixture"
205,monetize,/ˈmɑːnətaɪz/,to convert into money,"kiếm tiền từ, biến thành tiền","commercialize, capitalize, profit from"
206,speculative,/ˈspekjələtɪv/,based on conjecture rather than knowledge,có tính suy đoán,"conjectural, hypothetical, theoretical"
207,exorbitant,/ɪɡˈzɔːrbɪtənt/,exceeding what is reasonable,"quá đáng, cắt cổ","excessive, extravagant, immoderate"
208,warrant,/ˈwɔːrənt/,to justify or necessitate; official authorization,biện minh; lệnh,"justify, necessitate; authorization"
209,surreptitious ly,/ˌsɜːrəpˈtɪʃəsli/,in a way that is kept secret,lén lút,"secretly, covertly, stealthily"
210,disingenuous ly,/ˌdɪsɪnˈdʒenju əsli/,in a way that is not candid or sincere,không thành thật,"deceitfully, dishonestly, insincerely"
211,succinctly,/səkˈsɪŋktli/,in a brief and clear manner,"ngắn gọn, súc tích","concisely, briefly, tersely"
212,rivalry,/ˈraɪvəlri/,competition for the same objective,sự cạnh tranh,"competition, contest, opposition"
213,pretentiousn ess,/prɪˈtenʃəsnə s/,the quality of trying to impress falsely,sự khoa trương,"pomposity, ostentation, affectation"
214,capitalize,/ˈkæpɪtəlaɪz/,to take advantage of; to use,"tận dụng, khai thác","exploit, profit from, leverage"
215,advocate,/ˈædvəkət/,to publicly recommend or support,"ủng hộ, biện hộ","support, champion, endorse"
216,outsize,/ˈaʊtsaɪz/,exceptionally large,"quá khổ, ngoại cỡ ","oversize, huge, enormous"
217,buttress,/ˈbʌtrəs/,to increase the strength of; to support,củng cố,"support, strengthen, reinforce"
218,register,/ˈredʒɪstər/,to express or convey an opinion,"biểu lộ, thể hiện","express, convey, indicate"
219,aesthetic,/esˈθetɪk/,concerned with beauty,thẩm mỹ,"artistic, tasteful, decorative"
220,austerity,/ɔːˈsterəti/,sternness or severity; harsh economy,"khắc khổ, đạm bạc","severity, strictness, frugality"
221,controversial,/ˌkɑːntrəˈvɜːrʃ əl/,giving rise to public disagreement,gây tranh cãi,"contentious, disputed, debatable"
222,dynamic,/daɪˈnæmɪk/,characterized by constant change,"năng động, biến động","active, changing, energetic "
223,amalgamate,/əˈmælɡəmeɪ t/,to combine or unite to form one,hợp nhất,"merge, combine, unify"
224,defy,/dɪˈfaɪ/,to openly resist or refuse to obey,"thách thức, chống lại","resist, challenge, flout"
225,predicate,/ˈpredɪkeɪt/,to base or found something on,"dựa trên, lập luận trên","base, ground, found"
226,concede,/kənˈsiːd/,to admit something is true,"thừa nhận, nhượng bộ","admit, acknowledge, yield"
227,counterfeit,/ˈkaʊntərfɪt/,made in imitation to deceive,giả mạo,"fake, fraudulent, forged"
228,implement,/ˈɪmplɪment/,to put a decision or plan into effect,"thực hiện, thi hành","carry out, execute, enact"
229,disseminate,/dɪˈsemɪneɪt/,to spread widely,phổ biến,"spread, distribute, circulate"
230,iconoclastic,/aɪˌkɑːnəˈklæ stɪk/,attacking established beliefs,phá bỏ truyền thống,"rebellious, heretical, dissenting"
231,trenchant,/ˈtrentʃənt/,vigorous or incisive in expression,"sắc bén, mạnh mẽ","incisive, cutting, biting"
232,pernicious,/pərˈnɪʃəs/,having a harmful effect,"có hại, tai hại","harmful, destructive, deleterious"
233,salient,/ˈseɪliənt/,most noticeable or important,"nổi bật, quan trọng","prominent, conspicuous, notable"
234,provoke,/prəˈvoʊk/,to stimulate a reaction; to incite,"khiêu khích, gợi lên","incite, stimulate, prompt"
235,galvanize,/ˈɡælvənaɪz/,to shock or excite into action,"kích thích, thúc đẩy","stimulate, energize, motivate "
236,scrupulous,/ˈskruːpjələs/,"diligent, thorough, extremely careful","kỹ lưỡng, tỉ mỉ","meticulous, careful, conscientious"
237,redundancy,/rɪˈdʌndənsi/,the state of being not needed,sự dư thừa,"superfluity, excess, surplus"
238,prosaic,/proʊˈzeɪɪk/,lacking poetic beauty; commonplace,"tầm thường, dung dị","mundane, ordinary, pedestrian"
239,germane,/dʒɜːrˈmeɪn/,relevant to a subject,"thích hợp, có liên quan","relevant, pertinent, applicable"
240,counteract,/ˌkaʊntərˈækt/,to act against something to reduce force,"đối kháng, chống lại","neutralize, oppose, counter"
